Industry,Material_Name,Material_Type,Product,Weight_or_Capacity,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percentage,Data_Source,Weight_kg,CO2_Impact_Index,Cost_Efficiency_Index,Material_Suitability_Score,Industry_encoded,Material_Type_encoded,Product_encoded,Data_Source_encoded,Weight_Normalized,Eco_Score,Circular_Economy_Score
Cosmetics,Aluminum Foil,Metal,Toy casing,42.33 kg,0.05333333333333334,0.657142857142857,0.396551724137931,FootprintData,0.846153846153846,0.2642474001094691,0.153846153846154,0.1678528061976338,2,2,8,1,0.8461538461538463,0.24852545155993433,0.2592643678160919
Automotive,Kraft Paper,Paper,Food container,2.37 kg,0.1200000000000001,0.1285714285714286,0.8448275862068966,Sustainability Dataset,0.04358304880498092,0.6120853858784894,0.9564169511950191,0.5677592397099016,0,5,2,3,0.04358304880498093,0.5602167487684729,0.554896551724138
Furniture,Recycled Cardboard,Cardboard,Toy casing,31.22 kg,0.1466666666666667,0.6142857142857143,0.8275862068965516,Sustainability Dataset,0.623016670014059,0.4533223864258347,0.376983329985941,0.3384239535661162,4,1,8,3,0.6230166700140591,0.4668440065681445,0.5552183908045976
Furniture,Molded Pulp,Paper,Toy casing,6.76 kg,0.7466666666666668,0.2142857142857143,0.6896551724137931,Carbon Catalogue,0.1317533641293432,0.7406787082649152,0.8682466358706568,0.7807454740671631,4,5,8,0,0.13175336412934321,0.7316715927750411,0.7124597701149427
Healthcare,Kraft Paper,Paper,Packaging box,18.68 kg,0.5066666666666668,0.7857142857142856,0.2758620689655171,Carbon Catalogue,0.3711588672424181,0.3322714833059661,0.6288411327575819,0.4735609331496611,5,5,5,0,0.37115886724241814,0.3558686371100165,0.368183908045977
Home Appliances,Aluminum Foil,Metal,Electronic enclosure,49.48 kg,0.1066666666666667,0.7,0.03448275862068961,Sustainability Dataset,0.9897569793131149,0.1470498084291188,0.0102430206868851,0.09389282957771306,6,2,1,3,0.9897569793131151,0.11645977011494255,0.06335632183908045
Automotive,Cotton Fiber,Natural Material,Packaging box,38.66 kg,0.9733333333333334,0.3571428571428572,0.8103448275862069,FootprintData,0.7724442659168507,0.8088451012588944,0.2275557340831493,0.6838047607285025,0,4,5,1,0.7724442659168509,0.8420426929392446,0.8755402298850574
Healthcare,Tin Container,Metal,Shipping carton,7.48 kg,0.5733333333333335,0.7714285714285714,0.5,Carbon Catalogue,0.1462140992167102,0.4339682539682541,0.8537859007832899,0.6017230718222886,5,2,6,0,0.14621409921671022,0.47504761904761916,0.5293333333333334
Automotive,Cornstarch Plastic,Bioplastic,Food container,2.08 kg,0.44,0.5285714285714285,0.1379310344827586,FootprintData,0.03775858606145813,0.3497865353037766,0.9622414139385419,0.5605870383030732,0,0,2,1,0.037758586061458134,0.3254581280788178,0.25875862068965516
Construction,Kraft Paper,Paper,Medical packaging,49.72 kg,0.9600000000000002,0.9142857142857144,0.0,FootprintData,0.9945772243422373,0.3485714285714286,0.005422775657762724,0.4290554041259003,1,5,4,1,0.9945772243422375,0.40114285714285725,0.3840000000000001
Packaging,PLA Bioplastic,Bioplastic,Electronic enclosure,32.41 kg,0.1333333333333334,0.0,0.7586206896551724,OpenLCA Sample,0.6469170516167904,0.6306513409961686,0.3530829483832096,0.3981854209134303,7,0,1,2,0.6469170516167905,0.5567816091954023,0.5085057471264368
Packaging,Cotton Fiber,Natural Material,Shipping carton,32.09 kg,0.48,0.5285714285714285,0.189655172413793,Carbon Catalogue,0.6404900582446275,0.3803612479474549,0.3595099417553725,0.4039974817055937,7,4,6,0,0.6404900582446276,0.36214778325123154,0.3057931034482758
Furniture,Recycled Paper,Paper,Food container,34.9 kg,0.9866666666666668,0.3142857142857143,0.9310344827586206,OpenLCA Sample,0.6969270937939345,0.8678051450465244,0.3030729062060655,0.7340439298804295,4,5,2,2,0.6969270937939346,0.9042233169129721,0.953287356321839
Electronics,Kraft Paper,Paper,Storage container,29.71 kg,0.24,0.4428571428571429,0.5517241379310345,FootprintData,0.5926892950391645,0.4496223316912972,0.4073107049608355,0.3740421441647696,3,5,7,1,0.5926892950391646,0.4281182266009852,0.42703448275862066
Furniture,Tin Container,Metal,Furniture panel,9.98 kg,0.7333333333333334,0.9142857142857144,0.5689655172413792,FootprintData,0.1964249849367343,0.4626710454296661,0.8035750150632657,0.6461409226908461,4,2,3,1,0.19642498493673435,0.5380623973727422,0.6347126436781609
Construction,Molded Pulp,Paper,Storage container,36.57 kg,0.3066666666666667,0.9285714285714286,0.4482758620689655,FootprintData,0.7304679654549106,0.2754570333880679,0.2695320345450894,0.283042423718754,1,5,7,1,0.7304679654549107,0.3162627257799672,0.391632183908046
Toys,PLA Bioplastic,Bioplastic,Shipping carton,29.5 kg,0.2266666666666667,0.8285714285714285,0.7758620689655171,OpenLCA Sample,0.5884715806386824,0.3913191023535851,0.4115284193613176,0.3479861667498293,8,0,6,2,0.5884715806386825,0.43529720853858783,0.556183908045977
Electronics,Recycled Cardboard,Cardboard,Cosmetic wrap,3.06 kg,0.01333333333333336,0.657142857142857,0.103448275862069,OpenLCA Sample,0.05744125326370757,0.1532129173508484,0.9425587467362925,0.3480527909612271,3,1,0,2,0.05744125326370758,0.11528407224958956,0.06740229885057475
Electronics,Tin Container,Metal,Shipping carton,33.8 kg,0.4666666666666667,0.9714285714285715,0.603448275862069,Carbon Catalogue,0.6748343040771239,0.3662287903667214,0.3251656959228761,0.3840412249235514,3,2,6,0,0.674834304077124,0.43376026272577994,0.5487356321839081
Automotive,Recycled Paper,Paper,Toy casing,3.67 kg,0.9466666666666668,0.9571428571428571,0.7413793103448276,Carbon Catalogue,0.06969270937939345,0.5769677066228791,0.9303072906206066,0.7938792698353336,0,5,8,0,0.06969270937939347,0.6837898193760263,0.8234942528735633
Electronics,Kraft Paper,Paper,Toy casing,9.38 kg,0.3466666666666667,0.8714285714285714,0.3275862068965516,OpenLCA Sample,0.1843743723639285,0.2676081007115489,0.8156256276360715,0.4557309285754411,3,5,8,2,0.18437437236392853,0.295415435139573,0.33521839080459764
Automotive,Recycled Paper,Paper,Cosmetic wrap,6.84 kg,0.32,0.5285714285714285,0.7413793103448276,FootprintData,0.133360112472384,0.5109359605911331,0.866639887527616,0.560366350494738,0,5,0,1,0.13336011247238402,0.5188374384236454,0.5728275862068966
Automotive,Aluminum Foil,Metal,Shipping carton,23.69 kg,0.8,0.8571428571428572,0.7413793103448276,FootprintData,0.4717814822253464,0.5614121510673235,0.5282185177746536,0.6230304157593254,0,2,6,1,0.4717814822253465,0.6451231527093597,0.7648275862068966
Construction,Cotton Fiber,Natural Material,Shipping carton,10.1 kg,0.4533333333333334,0.7,0.3103448275862069,FootprintData,0.1988351074512954,0.3545593869731801,0.8011648925487046,0.5181732225538834,1,4,6,1,0.19883510745129546,0.36547126436781613,0.3675402298850575
Healthcare,Cornstarch Plastic,Bioplastic,Storage container,43.32 kg,0.3466666666666667,0.6428571428571428,0.2241379310344827,Sustainability Dataset,0.8660373568989757,0.3093158182813355,0.1339626431010243,0.2679151202428415,5,0,7,3,0.8660373568989759,0.29975041050903123,0.2731494252873563
Packaging,Molded Pulp,Paper,Packaging box,27.46 kg,0.09333333333333338,0.2857142857142857,0.6379310344827585,Sustainability Dataset,0.5474994978911427,0.4818500273672687,0.4525005021088573,0.3564901615795647,7,5,5,3,0.5474994978911428,0.43536288998357964,0.4200919540229884
Cosmetics,Bamboo Fiber,Natural Fiber,Food container,15.18 kg,0.44,0.3,0.6206896551724137,FootprintData,0.3008636272343844,0.5868965517241379,0.6991363727656157,0.5764995325193398,2,3,2,1,0.3008636272343845,0.5642758620689655,0.5484137931034482
Cosmetics,Molded Pulp,Paper,Toy casing,15.07 kg,0.6133333333333333,0.2142857142857143,0.8448275862068966,Carbon Catalogue,0.2986543482627033,0.7479584017515052,0.7013456517372967,0.6935870562217911,2,5,8,0,0.2986543482627034,0.7404072249589491,0.7522298850574712
Packaging,Cotton Fiber,Natural Material,Food container,11.78 kg,0.6800000000000002,0.2285714285714286,0.982758620689655,OpenLCA Sample,0.2325768226551516,0.8113957307060756,0.7674231773448484,0.7587852454858849,7,4,2,2,0.23257682265515164,0.8193891625615763,0.8616551724137931
Home Appliances,Cornstarch Plastic,Bioplastic,Storage container,19.39 kg,0.9866666666666668,0.7,0.293103448275862,OpenLCA Sample,0.385418758786905,0.5265900383141763,0.6145812412130951,0.6910103876895991,6,0,7,2,0.3854187587869051,0.5719080459770116,0.5705287356321839
Toys,Tin Container,Metal,Shipping carton,29.44 kg,0.2,0.657142857142857,0.6206896551724137,FootprintData,0.5872665193814018,0.3878489326765189,0.4127334806185982,0.338959617256187,8,2,6,1,0.587266519381402,0.39684729064039415,0.4524137931034482
Furniture,Tin Container,Metal,Storage container,4.56 kg,0.7600000000000002,0.7857142857142856,0.8793103448275861,OpenLCA Sample,0.08756778469572202,0.6178653530377669,0.912432215304278,0.7488758058063902,4,2,7,2,0.08756778469572203,0.6985812807881775,0.8315862068965518
Toys,Kraft Paper,Paper,Food container,3.96 kg,0.8133333333333335,0.1142857142857143,0.05172413793103448,Sustainability Dataset,0.07551717212291624,0.5835905856595512,0.9244828278770838,0.7547810826269457,8,5,2,3,0.07551717212291625,0.5231658456486044,0.3563678160919541
Toys,Cornstarch Plastic,Bioplastic,Cosmetic wrap,11.84 kg,0.2800000000000001,0.9142857142857144,0.3620689655172413,Sustainability Dataset,0.2337818839124322,0.2425944170771757,0.7662181160875678,0.4109032016571406,8,0,0,3,0.23378188391243226,0.27397044334975373,0.3292413793103448
Packaging,Recycled Cardboard,Cardboard,Food container,37.72 kg,0.8,0.5285714285714285,0.3620689655172413,FootprintData,0.7535649728861217,0.5444991789819377,0.2464350271138783,0.5317301797269386,7,1,2,1,0.7535649728861219,0.5591133004926109,0.5372413793103449
Toys,Molded Pulp,Paper,Packaging box,11.83 kg,0.5333333333333334,0.5428571428571429,0.293103448275862,OpenLCA Sample,0.2335810403695521,0.4278598795840176,0.7664189596304479,0.5610696397227415,8,5,5,2,0.23358104036955216,0.4220032840722496,0.3891954022988505
Cosmetics,Cornstarch Plastic,Bioplastic,Medical packaging,25.2 kg,0.5333333333333334,0.2142857142857143,0.8448275862068966,OpenLCA Sample,0.5021088572002409,0.7212917350848386,0.4978911427997591,0.5978840368738632,2,0,4,2,0.502108857200241,0.7084072249589491,0.7202298850574713
Cosmetics,Recycled Paper,Paper,Food container,19.09 kg,0.16,0.07142857142857142,0.2586206896551724,OpenLCA Sample,0.379393452500502,0.449064039408867,0.620606547499498,0.4138075800133962,2,5,2,2,0.3793934525005021,0.35316256157635467,0.21917241379310343
Electronics,Kraft Paper,Paper,Furniture panel,17.07 kg,0.4666666666666667,0.7571428571428571,0.982758620689655,Sustainability Dataset,0.3388230568387226,0.5640941434044883,0.6611769431612774,0.5639907403101785,3,5,3,3,0.33882305683872266,0.6283415435139573,0.7763218390804596
Electronics,Recycled Paper,Paper,Furniture panel,3.75 kg,0.6400000000000001,0.7285714285714286,0.8103448275862069,OpenLCA Sample,0.07129945772243422,0.5739244663382594,0.9287005422775658,0.7001799492185735,3,5,3,2,0.07129945772243423,0.634423645320197,0.7422068965517241
Furniture,Tin Container,Metal,Shipping carton,16.83 kg,0.2266666666666667,0.5142857142857142,0.4655172413793103,OpenLCA Sample,0.3340028118096002,0.392632731253421,0.6659971881903998,0.4248522489584883,4,2,6,2,0.33400281180960023,0.37401642036124794,0.3699770114942528
Toys,Molded Pulp,Paper,Electronic enclosure,9.03 kg,0.6400000000000001,0.8571428571428572,0.2068965517241379,OpenLCA Sample,0.1773448483631251,0.3299178981937603,0.822655151636875,0.5707637047685666,8,5,1,2,0.17734484836312514,0.3673300492610838,0.3801379310344828
Electronics,Kraft Paper,Paper,Electronic enclosure,31.92 kg,0.2666666666666667,0.6714285714285715,0.9482758620689655,OpenLCA Sample,0.6370757180156658,0.5145046524356869,0.3629242819843342,0.3946791455695751,3,5,1,2,0.6370757180156659,0.5516912972085386,0.675632183908046
Furniture,Cotton Fiber,Natural Material,Electronic enclosure,5.84 kg,0.2,0.3,0.1551724137931034,FootprintData,0.1132757581843744,0.3517241379310345,0.8867242418156256,0.4667069277171015,4,4,1,1,0.11327575818437442,0.28206896551724137,0.17310344827586205
Construction,Recycled Cardboard,Cardboard,Furniture panel,34.15 kg,0.24,0.8428571428571427,0.1724137931034482,OpenLCA Sample,0.6818638280779272,0.1898522167487685,0.3181361719220728,0.2433817382761292,1,1,3,2,0.6818638280779273,0.19639408866995073,0.19944827586206892
Cosmetics,Cornstarch Plastic,Bioplastic,Cosmetic wrap,30.14 kg,0.02666666666666667,0.8,0.8620689655172413,FootprintData,0.6013255673830086,0.362911877394636,0.3986744326169914,0.2727670807429518,2,0,0,1,0.6013255673830087,0.3954942528735632,0.5279080459770115
Healthcare,Aluminum Foil,Metal,Cosmetic wrap,18.24 kg,0.3066666666666667,0.04285714285714287,0.482758620689655,OpenLCA Sample,0.3623217513556938,0.5821893814997262,0.6376782486443062,0.5161792271931823,5,2,0,2,0.36232175135569383,0.5071986863711001,0.4123218390804597
Electronics,PLA Bioplastic,Bioplastic,Medical packaging,19.25 kg,0.8,0.7428571428571429,0.3620689655172413,OpenLCA Sample,0.3826069491865836,0.4730706075533662,0.6173930508134164,0.6144461582653714,3,0,4,2,0.3826069491865837,0.516256157635468,0.5372413793103449
Home Appliances,PLA Bioplastic,Bioplastic,Furniture panel,13.05 kg,0.2,0.2571428571428571,0.4482758620689655,Carbon Catalogue,0.2580839526009239,0.4637110016420361,0.7419160473990761,0.4680592148765373,6,0,3,0,0.258083952600924,0.4078817733990148,0.3489655172413793
Automotive,Kraft Paper,Paper,Furniture panel,48.74 kg,0.7733333333333334,0.2857142857142857,0.482758620689655,Carbon Catalogue,0.974894557139988,0.656792556102901,0.02510544286001204,0.5022486552991641,0,5,3,0,0.9748945571399882,0.6452939244663384,0.5989885057471265
Construction,Recycled Paper,Paper,Toy casing,28.55 kg,0.5733333333333335,0.3428571428571429,0.3275862068965516,Sustainability Dataset,0.5693914440650732,0.5193541324575808,0.4306085559349268,0.5089242197635104,1,5,8,3,0.5693914440650734,0.49179638752052546,0.42588505747126437
Automotive,Tin Container,Metal,Shipping carton,23.85 kg,0.2800000000000001,0.9285714285714286,0.3448275862068966,FootprintData,0.474994978911428,0.2320853858784893,0.5250050210885719,0.3343356606779673,0,2,6,1,0.4749949789114281,0.26421674876847295,0.318896551724138
Construction,Recycled Cardboard,Cardboard,Toy casing,14.66 kg,0.44,0.3428571428571429,0.7241379310344827,FootprintData,0.2904197630046194,0.6070935960591133,0.7095802369953806,0.5877115095222596,1,1,8,1,0.29041976300461947,0.5970837438423645,0.6104827586206896
Automotive,Molded Pulp,Paper,Storage container,13.27 kg,0.24,0.07142857142857142,0.7241379310344827,OpenLCA Sample,0.262502510544286,0.6309031198686371,0.737497489455714,0.5456104947841691,0,5,7,2,0.2625025105442861,0.5713694581280788,0.5304827586206896
Cosmetics,Molded Pulp,Paper,Shipping carton,14.35 kg,0.3066666666666667,0.1857142857142857,0.189655172413793,OpenLCA Sample,0.2841936131753364,0.4368691844553913,0.7158063868246636,0.4814895898295556,2,5,6,2,0.2841936131753365,0.3613858784893268,0.23645977011494249
Construction,Bamboo Fiber,Natural Fiber,Food container,27.66 kg,0.2933333333333334,0.5857142857142856,0.603448275862069,Sustainability Dataset,0.5515163687487447,0.4370224411603723,0.4484836312512553,0.3973540658395255,1,3,2,3,0.5515163687487448,0.4415697865353039,0.4794022988505747
Healthcare,Bamboo Fiber,Natural Fiber,Toy casing,31.13 kg,0.8133333333333335,0.2285714285714286,0.9655172413793103,FootprintData,0.6212090781281381,0.8500930487137385,0.3787909218718619,0.697674496047054,5,3,8,1,0.6212090781281382,0.8658259441707717,0.9046436781609195
Toys,Bamboo Fiber,Natural Fiber,Packaging box,20.61 kg,0.02666666666666667,0.1714285714285714,0.9137931034482758,Sustainability Dataset,0.4099216710182767,0.5896770662287903,0.5900783289817233,0.4208943251860331,8,3,5,3,0.4099216710182768,0.5418981937602627,0.5589425287356322
Packaging,Kraft Paper,Paper,Food container,38.12 kg,0.4000000000000001,0.7571428571428571,0.8793103448275861,Sustainability Dataset,0.7615987146013254,0.5073891625615764,0.2384012853986746,0.394476050644233,7,5,2,3,0.7615987146013257,0.560295566502463,0.6875862068965517
Packaging,Cotton Fiber,Natural Material,Storage container,2.65 kg,0.1733333333333333,0.1571428571428571,0.03448275862068961,Sustainability Dataset,0.04920666800562361,0.3502244116037219,0.9507933319943764,0.4773277642398017,7,4,7,3,0.04920666800562362,0.2516978653530378,0.0900229885057471
Furniture,Aluminum Foil,Metal,Food container,9.63 kg,0.7600000000000002,0.9428571428571428,0.603448275862069,OpenLCA Sample,0.1893954609359309,0.4735303776683088,0.810604539064069,0.6605935127865443,4,2,2,2,0.18939546093593096,0.5568078817733991,0.6660689655172415
Healthcare,Aluminum Foil,Metal,Electronic enclosure,5.66 kg,0.9733333333333334,0.5428571428571429,0.1379310344827586,Sustainability Dataset,0.1096605744125326,0.5228024083196496,0.8903394255874674,0.7682227910041,5,2,1,3,0.10966057441253263,0.5359343185550083,0.47209195402298854
Toys,Cornstarch Plastic,Bioplastic,Furniture panel,10.92 kg,0.6266666666666667,0.4857142857142857,0.4482758620689655,OpenLCA Sample,0.2153042779674633,0.5297427476737822,0.7846957220325367,0.6353058156792739,8,0,3,2,0.21530427796746335,0.5328341543513958,0.519632183908046
Construction,Kraft Paper,Paper,Packaging box,3.44 kg,0.1333333333333334,0.2142857142857143,0.1551724137931034,Carbon Catalogue,0.06507330789315123,0.3580733442802408,0.9349266921068488,0.4637073453441509,1,5,5,0,0.06507330789315124,0.2725451559934319,0.14643678160919538
Packaging,Tin Container,Metal,Cosmetic wrap,13.72 kg,0.8800000000000001,0.9714285714285715,0.8620689655172413,Carbon Catalogue,0.2715404699738903,0.5902134646962233,0.7284595300261096,0.7186232448863222,7,2,0,0,0.27154046997389036,0.7025418719211823,0.8692413793103448
Healthcare,Tin Container,Metal,Toy casing,19.68 kg,0.3866666666666667,0.2857142857142857,0.2586206896551724,FootprintData,0.3912432215304277,0.4531910235358511,0.6087567784695722,0.4799034429552121,5,2,8,1,0.3912432215304278,0.4009720853858786,0.30983908045977016
Toys,Recycled Paper,Paper,Storage container,30.8 kg,0.24,0.7571428571428571,0.2413793103448275,OpenLCA Sample,0.614581241213095,0.2414121510673235,0.385418758786905,0.2841904880630009,8,5,7,2,0.6145812412130951,0.24112315270935958,0.2408275862068965
Construction,Molded Pulp,Paper,Food container,0.31 kg,0.2266666666666667,0.8571428571428572,0.8620689655172413,Sustainability Dataset,0.00220927897168106,0.4105309250136837,0.9977907210283189,0.5315495863139692,1,5,2,3,0.0022092789716810605,0.46406568144499183,0.6079080459770114
Cosmetics,Aluminum Foil,Metal,Food container,24.59 kg,0.5466666666666666,0.7285714285714286,0.7241379310344827,OpenLCA Sample,0.4898574010845551,0.5140777230432402,0.5101425989154449,0.5226738688919295,2,2,2,2,0.4898574010845552,0.5626075533661741,0.6531494252873562
Packaging,Molded Pulp,Paper,Storage container,0.38 kg,0.1333333333333334,0.6285714285714286,0.2413793103448275,FootprintData,0.003615183771841735,0.2487137383689108,0.9963848162281582,0.4384009402160117,7,5,7,1,0.003615183771841736,0.22417077175697864,0.19816091954022985
Healthcare,Cotton Fiber,Natural Material,Food container,6.63 kg,0.5066666666666668,0.7714285714285714,1.0,FootprintData,0.129142398071902,0.5784126984126985,0.870857601928098,0.6446223599435088,5,4,2,1,0.12914239807190203,0.6483809523809525,0.8026666666666668
Toys,Recycled Paper,Paper,Medical packaging,43.53 kg,0.06666666666666671,0.5428571428571429,0.4482758620689655,FootprintData,0.8702550712994577,0.3240284619594964,0.1297449287005423,0.1885348633939613,8,5,4,1,0.8702550712994579,0.2974055829228243,0.29563218390804596
Packaging,Cotton Fiber,Natural Material,Cosmetic wrap,9.52 kg,0.4933333333333333,0.1,0.1724137931034482,OpenLCA Sample,0.1871861819642498,0.5219157088122605,0.8128138180357501,0.6006104289356292,7,4,0,2,0.18718618196424983,0.44629885057471264,0.30078160919540226
Healthcare,Kraft Paper,Paper,Electronic enclosure,29.88 kg,0.8400000000000001,0.2142857142857143,0.3448275862068966,FootprintData,0.596103635268126,0.6568472906403942,0.403896364731874,0.6359078256757199,5,5,1,1,0.5961036352681262,0.6310738916256159,0.542896551724138
Electronics,Cornstarch Plastic,Bioplastic,Electronic enclosure,46.9 kg,0.44,0.6285714285714286,0.1551724137931034,Sustainability Dataset,0.9379393452500501,0.322200328407225,0.06206065474994993,0.279498327787875,3,0,1,3,0.9379393452500503,0.31235467980295567,0.2691034482758621
Electronics,PLA Bioplastic,Bioplastic,Furniture panel,19.87 kg,0.7600000000000002,0.4571428571428571,0.5172413793103448,OpenLCA Sample,0.3950592488451496,0.6066995073891627,0.6049407511548504,0.6521620283021202,3,0,3,2,0.3950592488451497,0.6194679802955665,0.6143448275862069
Packaging,Bamboo Fiber,Natural Fiber,Cosmetic wrap,24.97 kg,0.7066666666666668,0.1857142857142857,0.5,Sustainability Dataset,0.4974894557139987,0.6736507936507937,0.5025105442860013,0.6322134807461179,7,3,0,3,0.49748945571399883,0.6455238095238096,0.5826666666666667
Healthcare,Recycled Paper,Paper,Medical packaging,43.53 kg,0.9066666666666667,0.7857142857142856,0.08620689655172409,OpenLCA Sample,0.8702550712994577,0.4023864258347018,0.1297449287005423,0.4718780489440434,5,5,4,2,0.8702550712994579,0.4400065681444992,0.41439080459770117
Packaging,Recycled Paper,Paper,Furniture panel,32.17 kg,0.2800000000000001,0.2571428571428571,0.2068965517241379,FootprintData,0.6420968065876682,0.4099178981937603,0.3579031934123318,0.3553381173012037,7,5,3,1,0.6420968065876683,0.3433300492610838,0.23613793103448277
Construction,Kraft Paper,Paper,Cosmetic wrap,24.44 kg,0.04000000000000004,0.9714285714285715,0.2758620689655171,OpenLCA Sample,0.4868447479413537,0.1148111658456485,0.5131552520586463,0.2118710419558533,1,5,0,2,0.4868447479413538,0.13205911330049258,0.18151724137931027
Healthcare,Aluminum Foil,Metal,Furniture panel,13.91 kg,0.6133333333333333,0.2714285714285714,0.4310344827586206,Sustainability Dataset,0.2753564972886122,0.5909797482211275,0.7246435027113878,0.6377849501018673,5,2,3,3,0.2753564972886123,0.5634614121510673,0.5039540229885057
Electronics,Aluminum Foil,Metal,Medical packaging,49.68 kg,0.8666666666666667,0.6285714285714286,0.9137931034482758,Carbon Catalogue,0.993773850170717,0.717296113847838,0.006226149829283045,0.5487862904879202,3,2,4,0,0.9937738501707172,0.7864696223316914,0.8949425287356322
Automotive,Kraft Paper,Paper,Toy casing,21.42 kg,0.6133333333333333,0.2714285714285714,0.6206896551724137,Carbon Catalogue,0.4261899979915645,0.6541981390257252,0.5738100020084355,0.6178222562128207,0,5,8,0,0.4261899979915646,0.6393234811165845,0.6177471264367815
